ALPHA,FEATURE,FLOOR,MIX,accuracy,ap,auroc,base_rate,f1,threshold
0.5,surprisal,0.0,0.75,0.6116152450090744,0.35101180224270667,0.6910755148741419,0.20689655172413793,0.44559585492227977,1.2769106048411303
0.5,surprisal,0.0,1.0,0.6079854809437386,0.33733888742792156,0.6815006624111767,0.20689655172413793,0.44329896907216493,1.591443089351838
0.5,surprisal,0.5,0.0,0.5698729582577132,0.3782994872747825,0.6974386767834919,0.20689655172413793,0.4397163120567376,0.008810977934444963
0.5,surprisal,0.5,0.25,0.6660617059891107,0.38493007231059106,0.7026376008671564,0.20689655172413793,0.4619883040935672,0.47126146644586697
0.5,surprisal,0.5,0.5,0.6206896551724138,0.36065653491620575,0.6923200449636677,0.20689655172413793,0.44266666666666665,0.7176586620066718
0.5,surprisal,0.5,0.75,0.6025408348457351,0.34566338421336895,0.6858966638564374,0.20689655172413793,0.4370179948586118,0.9361632441701663
0.5,surprisal,0.5,1.0,0.5898366606170599,0.33814007515923616,0.6814605162792565,0.20689655172413793,0.435,1.1449376344680786
0.5,surprisal,1.0,0.0,0.6460980036297641,0.3553631399208184,0.6714842024970894,0.20689655172413793,0.42136498516320475,0.009047092637047172
0.5,surprisal,1.0,0.25,0.6025408348457351,0.36869613630575715,0.6915974145891043,0.20689655172413793,0.44274809160305345,0.2668593309383917
0.5,surprisal,1.0,0.5,0.6079854809437386,0.3528407796441493,0.6877835320566863,0.20689655172413793,0.4375,0.49697916058357805
0.5,surprisal,1.0,0.75,0.631578947368421,0.3440617757719623,0.6842707455136697,0.20689655172413793,0.4376731301939058,0.8454391901245921
0.5,surprisal,1.0,1.0,0.6188747731397459,0.33924368153851403,0.6824842426432213,0.20689655172413793,0.43243243243243246,1.011558069140392
